Career Name,A Day in the Life,Real-World Impact,Entry Exams,Top Colleges,Starting Pay (LPA),Mid-Career Pay (LPA),Senior-Level Pay (LPA),Top Recruiters,Stability Outlook,Automation Risk,Where You Can Work,Notable People,Sources,Common Specializations (Optional)
Engineering Physics,"A person in this field spends the day using deep physics ideas (like how light, electricity, or tiny particles behave) to design real devices — for example working on computer chips, lasers, or sensors. Work usually happens in a lab or on a computer, running experiments or building models to test how a device will behave.","This work sits behind things like the camera sensor in your phone, the semiconductor chips made by companies like Applied Materials or Tata Electronics, and fibre-optic cables that carry the internet across India. Without this deep physics-plus-engineering thinking, such advanced hardware could not be designed.","JEE (Joint Entrance Exam, the main exam to get into engineering colleges including IITs) — specifically for the Engineering Physics programs offered at a few IITs; GATE (a national exam for master's or government engineering jobs) later on for higher studies.","IIT Bombay, IIT Delhi, IIT Kanpur, IIT Madras (Engineering Physics/Physics programs), BHU IIT (Varanasi), IIT Hyderabad",₹6-12 LPA,₹15-25 LPA,₹30-60 LPA,"Applied Materials, Tata Electronics, ISRO, DRDO, Intel, Qualcomm, research institutes like TIFR",Medium,Low,Metro cities mainly,"C.V. Raman (physicist, Nobel laureate), Deepak Pandit (semiconductor researcher), Homi Bhabha (physicist, nuclear program founder)","NIRF rankings, AmbitionBox, Glassdoor India, industry placement reports",Semiconductor Physics: Designing and studying the tiny electronic parts inside computer chips. | Photonics and Lasers: Working with light-based technology used in internet cables and medical devices. | Quantum Technology: Researching very early-stage computers and sensors that use quantum physics rules.
Engineering Science,"A person in this field studies a mix of subjects across many engineering branches instead of picking just one, and later decides their specific focus (like robotics, materials, or data) based on interest. Day-to-day work in college involves broad projects that combine mechanical, electrical, and computer topics together, and after graduation the work depends entirely on which specific area they eventually choose.","Because this degree keeps options open, graduates end up working on very different real things — from designing parts of an electric scooter at Ather Energy to writing code for a robotics startup — giving companies flexible engineers who can adapt across departments.","JEE (Joint Entrance Exam, the main exam to get into engineering colleges including IITs) — Engineering Science is offered as a flexible branch at a few institutes like IIT Kanpur and IISER-style programs.","IIT Kanpur (Engineering Science programme), IISER Pune, IISER Bhopal, BITS Pilani (interdisciplinary tracks), IIT Gandhinagar",₹6-10 LPA,₹14-22 LPA,₹25-45 LPA,"Tata Consultancy Services, Larsen & Toubro, Reliance Industries, various startups, consulting firms, higher-education institutes",Medium,Low,Works from anywhere,"Elon Musk (broad engineering background, entrepreneur), Sundar Pichai (engineer, Google CEO), Raghunath Mashelkar (scientist, broad engineering research)","NIRF rankings, AmbitionBox, Glassdoor India, industry placement reports",
English,"Someone with a degree in English might spend their day writing articles, editing other people's writing, teaching literature to students, or creating content for a company's website or marketing. The actual work depends heavily on which job they pick, from journalism to publishing to teaching.","People with English backgrounds write the news you read, the books published by companies like Penguin Random House India, and the content that brands like Zomato use to talk to customers, shaping how information and stories reach people.","No single fixed entrance exam — most colleges admit students for a BA in English based on Class 12 marks, though some top universities use CUET (Common University Entrance Test, a common exam for central university admissions).","St. Stephen's College Delhi, Lady Shri Ram College Delhi, Presidency College Chennai, Jadavpur University Kolkata, Miranda House Delhi",₹2.5-5 LPA,₹6-12 LPA,₹15-25+ LPA,"Penguin Random House India, The Times of India, schools and colleges, content and marketing agencies, publishing houses like HarperCollins India",Medium,Medium,"Works from anywhere for writing and editing roles, since much of this work can be done remotely","Arundhati Roy (Booker Prize-winning Indian author), Chetan Bhagat (bestselling Indian English-language novelist), Shashi Tharoor (writer, politician, known for his English vocabulary and books)","NIRF rankings, AmbitionBox, Glassdoor India, industry placement reports",
Environmental Engineering,"A person in this field designs systems that clean polluted water, treat sewage, or reduce air pollution from factories, often visiting treatment plants or construction sites to check that things are built and working correctly. They also use computers to model how pollution spreads and to plan solutions like waste management systems for cities.",This work makes sure cities like Delhi and Mumbai have safer drinking water and reduces the smog that affects daily life; companies like VA Tech Wabag build and run water treatment plants across India relying on these engineers.,"JEE (Joint Entrance Exam, the main exam to get into engineering colleges including IITs) for undergraduate study, often taken as a specialization within Civil Engineering; GATE (a national exam for master's or government jobs) for higher studies or government roles.","IIT Roorkee, IIT Kharagpur, IIT Bombay, NIT Warangal, Anna University, Jadavpur University",₹4-8 LPA,₹9-16 LPA,₹18-30 LPA,"VA Tech Wabag, L&T Construction, Central Pollution Control Board, state Pollution Control Boards, EIL (Engineers India Limited), consulting firms like ERM",High,Low,Tier-2 cities fine,"Sunita Narain (environmental researcher and activist), Rajendra Singh (water conservation engineer, Magsaysay awardee)","NIRF rankings, AmbitionBox, Glassdoor India, industry placement reports","Water and Wastewater Treatment: Designing plants that clean drinking water and treat sewage before it enters rivers. | Air Pollution Control: Building systems that reduce harmful gases and smoke released by factories and vehicles. | Solid Waste Management: Planning how a city's garbage is collected, sorted, and safely disposed of or recycled."
Finance,"A finance professional spends the day looking at numbers, spreadsheets, and market news to decide where money should go or how to make it grow. This could mean helping a company raise money, planning a family's investments, or managing a business's budget and cash flow.","Finance people are behind big moments like Zomato or LIC listing on the stock market, and behind everyday things like helping a small business get a loan from HDFC Bank to expand. Without finance professionals, companies couldn't raise money to grow and people wouldn't get advice on saving for a house or retirement.","CA (Chartered Accountancy exam, run by ICAI, for accounting and finance experts), CFA (Chartered Financial Analyst, a global exam for investment professionals), CAT (Common Admission Test, for MBA in Finance), or simply a B.Com/BBA degree followed by on-the-job learning.","Shri Ram College of Commerce (Delhi), Narsee Monjee Institute of Management Studies (Mumbai), Indian Institutes of Management (various cities), St. Xavier's College (Kolkata/Mumbai), Institute of Chartered Accountants of India",₹4-8 LPA,₹12-25 LPA,₹30-80 LPA,"HDFC Bank, ICICI Bank, Goldman Sachs, JP Morgan, Deloitte, EY (Ernst & Young)",High,Medium,Metro cities mainly,Uday Kotak: founded Kotak Mahindra Bank | Falguni Nayar: ex-banker turned Nykaa founder | Nirmala Sitharaman: India's Finance Minister,"NIRF rankings, AmbitionBox, Glassdoor India, industry placement reports","Investment Banking: helping companies raise money by selling shares or bonds, and advising on mergers between companies | Corporate Finance: managing a company's own money, budgets, and financial decisions from inside the business | Financial Planning/Wealth Management: helping individuals and families plan their savings, investments, and taxes"
Fishery Science,"A fishery scientist studies fish and water bodies, working out how to breed fish healthily, keep ponds and rivers clean, or help fish farmers get bigger harvests. Some days involve fieldwork at ponds or the coast, other days involve lab tests on water and fish samples.","India is one of the world's biggest fish producers, and fishery scientists help fish farmers in states like Andhra Pradesh and West Bengal grow more fish like rohu and shrimp for export and local markets. Their work keeps fish affordable and safe to eat for millions of Indians, and supports the livelihoods of coastal and rural fishing families.","ICAR AIEEA (All India Entrance Examination for Admission, run by the Indian Council of Agricultural Research, for fisheries and agriculture degree courses), or state-level agricultural university entrance tests.","Central Institute of Fisheries Education (Mumbai), College of Fisheries (Kerala Agricultural University), Fisheries College and Research Institute (Tamil Nadu), West Bengal University of Animal and Fishery Sciences",₹3-5 LPA,₹6-10 LPA,₹12-20 LPA,"Marine Products Export Development Authority, National Fisheries Development Board, state fisheries departments, Central Institute of Fisheries Education, aquaculture companies like Avanti Feeds",Medium,Low,Tier-2 cities and coastal areas fine,"Dr. Modadugu Vijay Gupta: World Food Prize winner for fish farming work | Dr. W. S. Lakra: former Director, Central Institute of Fisheries Education","ICAR reports, AmbitionBox, government fisheries department data, university placement records",
Food Engineering,"A person in this field works in factories or labs figuring out how to process, package, and preserve food so it stays safe and tasty for longer — for example designing the machines that pasteurize milk or the process that keeps chips crunchy in a sealed packet. They also test new food products and make sure factory equipment meets hygiene and safety rules.","This work is why milk from companies like Amul stays fresh in tetra packs for months and why packaged snacks from brands like Haldiram's don't spoil quickly, letting food reach people safely across India's long supply chains.","JEE (Joint Entrance Exam, the main exam to get into engineering colleges including IITs) for a few specialized programs; ICAR AIEEA (an entrance exam for agriculture-related degrees, including food technology, at agricultural universities) is more commonly used.","IIT Kharagpur (Agricultural and Food Engineering), NIFTEM (National Institute of Food Technology, Entrepreneurship and Management), CFTRI Mysore, Punjab Agricultural University, GB Pant University",₹4-7 LPA,₹8-14 LPA,₹15-25 LPA,"Amul, Nestle India, ITC Foods, Britannia, Haldiram's, PepsiCo India",High,Medium,Tier-2 cities fine,"M.S. Swaminathan (agricultural scientist, food security pioneer), Verghese Kurien (dairy and food processing pioneer, founder of Amul's model)","NIRF rankings, AmbitionBox, Glassdoor India, industry placement reports","Food Processing: Designing the machines and steps that turn raw farm produce into packaged food. | Food Packaging: Creating packaging that keeps food fresh, safe, and long-lasting during transport and storage. | Food Safety and Quality: Testing food products to make sure they meet health and hygiene standards before sale."
Forensic Science,"A forensic scientist examines evidence from crime scenes, like blood samples, fingerprints, or broken objects, in a lab to figure out what happened and who was involved. They often write detailed reports that police and courts use to solve cases.","Forensic scientists help solve real crimes, like identifying suspects through DNA testing or analyzing weapons in high-profile police investigations across India. Their careful lab work can decide whether an innocent person is cleared or a guilty person is caught, directly affecting justice in courts.","No single fixed entrance exam — most students take a B.Sc in Forensic Science after Class 12, admission is usually based on Class 12 marks or a university-specific entrance test.","Lokmanya Tilak Institute of Forensic Science (Mumbai), Government Institute of Forensic Science (Nagpur), Institute of Forensic Science (Gujarat Forensic Sciences University), Amity Institute of Forensic Sciences (Noida)",₹3-5 LPA,₹6-10 LPA,₹12-18 LPA,"Central Forensic Science Laboratory, state forensic science laboratories, Central Bureau of Investigation, state police departments, National Investigation Agency",Medium,Low,Metro cities mainly,Dr. M. S. Rao: pioneer of Indian forensic odontology | Dr. Lalji Singh: known as father of DNA fingerprinting in India,"AmbitionBox, Glassdoor India, university placement records, government forensic lab recruitment notices",
Forestry,"A forestry professional manages forests, plants and protects trees, tracks wildlife, and works to stop illegal cutting of trees or poaching of animals. Work often happens outdoors, walking through forest areas, alongside paperwork on forest health and planning.","Foresters protect India's tiger reserves like Ranthambore and Jim Corbett, manage timber and forest produce that rural communities depend on, and help fight climate change by keeping forests healthy. Their decisions affect whether forests survive for future generations and whether wildlife like elephants and tigers have safe habitats.","Indian Forest Service Exam (a government exam through UPSC, the Union Public Service Commission, for top forest officer positions), or a B.Sc in Forestry through state agricultural or forestry university entrance tests.","Forest Research Institute (Dehradun), Indira Gandhi Krishi Vishwavidyalaya (Raipur), Kerala Agricultural University, Indian Institute of Forest Management (Bhopal)",₹4-7 LPA,₹9-15 LPA,₹18-30 LPA,"State Forest Departments, Ministry of Environment Forest and Climate Change, Wildlife Institute of India, WWF India, Forest Survey of India",High,Low,Tier-2 cities fine,Kailash Sankhala: known as father of Project Tiger | Ullas Karanth: renowned Indian tiger conservationist,"UPSC notifications, AmbitionBox, government forest department data, conservation organization reports",
General Engineering,"A person in this field studies the basics of several engineering branches together (like a bit of mechanical, electrical, and civil) without specializing deeply in one, usually at smaller colleges that offer a broad first-year-style program throughout the degree. Actual daily work after graduation varies a lot and depends on which industry or company hires them, often in general technical, maintenance, or supervisory roles.",Graduates from this kind of broad program often become the utility players in factories or infrastructure companies — for example handling general technical operations at an L&T project site — because they can understand and coordinate across different engineering teams.,JEE (Joint Entrance Exam) or state-level engineering entrance exams (like MHT-CET in Maharashtra or KCET in Karnataka) depending on the state and college offering the general engineering program.,"Various state engineering colleges and polytechnic-linked institutes, regional NITs offering general/multi-disciplinary tracks, state technical universities",₹3-6 LPA,₹7-12 LPA,₹14-22 LPA,"Larsen & Toubro, state public works departments, Indian Railways, various manufacturing companies, government technical departments",Medium,Medium,Tier-2 cities fine,"Sir M. Visvesvaraya (broad civil-mechanical engineer, statesman), E. Sreedharan (multi-discipline infrastructure engineer, 'Metro Man of India')","NIRF rankings, AmbitionBox, Glassdoor India, industry placement reports",
Geology / Geophysics / Geological Technology,"A geologist studies rocks, soil, and the structure of the earth to find out what lies underground, such as oil, minerals, or groundwater, or to understand earthquakes and landslides. Work involves fieldwork at mines, hills, or drilling sites, plus lab analysis of rock and soil samples.","Geologists help companies like ONGC (Oil and Natural Gas Corporation) find oil and gas reserves that power India's homes and vehicles, and help mining companies locate coal and metal deposits used in construction and electronics. They also study earthquake-prone zones like the Himalayas to help build safer buildings and warn of disasters.","GATE (Graduate Aptitude Test in Engineering, a national exam for getting into master's programs or government jobs in geology), or a B.Sc in Geology through Class 12 marks-based admission.","Indian Institute of Technology (various cities), Indian School of Mines/IIT Dhanbad, Banaras Hindu University, University of Delhi, Jadavpur University",₹4-8 LPA,₹10-18 LPA,₹20-35 LPA,"Oil and Natural Gas Corporation, Geological Survey of India, Coal India Limited, Reliance Industries, Schlumberger",Medium,Low,Works in remote mining/drilling sites often,D. N. Wadia: pioneering Indian geologist on Himalayan geology | Harsh Gupta: renowned Indian seismologist,"GATE exam data, AmbitionBox, Geological Survey of India reports, industry placement records",
HCL TechBee Program,"A TechBee student joins right after Class 12 instead of going to college, and spends the day partly learning IT skills like coding and business basics, and partly doing real paid work at HCLTech, a large Indian IT company. Over time, the classroom learning reduces and the real job work increases.","TechBee lets students from ordinary financial backgrounds start earning a salary and gaining real work experience at 18, instead of spending three to four years and lakhs of rupees on a college degree first. It has helped thousands of Indian students, especially from smaller towns, get into the IT industry without the usual engineering degree route.","No single fixed entrance exam — HCLTech selects students directly after Class 12 based on an aptitude test and interview conducted by the company itself, not a national exam.","This is a company-run program, not a college degree — training happens directly at HCLTech's own TechBee centers, with an option to later complete a college degree alongside work.",₹1.5-2.5 LPA,₹4-7 LPA,₹10-18 LPA,HCLTech (the program leads directly to a job at HCLTech itself),Medium,Medium,Metro and Tier-2 cities where HCLTech centers are located,This is a young program without long-tenured famous alumni yet — students who join are mostly at the start of their careers.,"HCLTech official program information, AmbitionBox employee reviews, news coverage of the program",
History,"A historian reads old documents, books, and records, visits archives or old monuments, and writes or teaches about how people lived in the past. Days can involve research in libraries, interviewing people for oral history, or preparing lessons for students.","Historians help India understand its own past, from the freedom struggle to ancient civilizations like the Indus Valley, and their research shapes museum exhibits, school textbooks, and documentaries watched by millions. Their work also helps settle debates about historical events and monuments that matter to communities today.","No single fixed entrance exam — many colleges take students based on Class 12 marks, though top universities like Delhi University and Jawaharlal Nehru University have their own entrance tests for higher studies.","Jawaharlal Nehru University (Delhi), Delhi University, Presidency University (Kolkata), Banaras Hindu University, Jadavpur University",₹2.5-4.5 LPA,₹5-9 LPA,₹10-18 LPA,"Archaeological Survey of India, universities and colleges, National Museum, publishing houses, UPSC (for civil services roles)",Medium,Low,Works from anywhere for research and writing,Romila Thapar: eminent Indian historian on ancient India | Ramachandra Guha: well-known historian and author,"AmbitionBox, Glassdoor India, university placement data, UGC (University Grants Commission) reports",
Homeopathy,"A homeopathic doctor meets patients, listens carefully to their symptoms and lifestyle, and prescribes homeopathic medicines, which are natural remedies given in small diluted doses. Much of the day is spent in consultations at a clinic or hospital, similar to a regular doctor's visit.","Homeopathy doctors treat millions of Indians every year as an alternative or addition to regular medicine, especially for chronic issues like allergies or skin problems, and many government hospitals in India have dedicated homeopathy departments. This gives patients more treatment choices and supports India's AYUSH system (a government ministry for Ayurveda, Yoga, Unani, Siddha, and Homeopathy).","NEET (National Eligibility cum Entrance Test, the common medical entrance exam in India, also used for homeopathy degree admissions).","National Institute of Homoeopathy (Kolkata), Nehru Homoeopathic Medical College (Delhi), Government Homoeopathic Medical College (Bengaluru), Dr. M.P.K. Homoeopathic Medical College (Mumbai)",₹3-5 LPA,₹6-10 LPA,₹12-25 LPA,"AYUSH Ministry hospitals, state government homeopathy hospitals, private homeopathy clinics, Dr. Batra's, Homeocare International",Medium,Low,Tier-2 cities fine,Dr. Mukesh Batra: founder of Dr. Batra's Homeopathy clinics | Dr. B. K. Sarkar: renowned Indian homeopathy teacher,"NEET exam data, AmbitionBox, AYUSH Ministry reports, clinic placement records",
Horticulture,"A horticulturist works with fruits, vegetables, flowers, and garden plants, figuring out the best ways to grow them, protect them from disease, and increase harvest quality. Work can be in fields, greenhouses, nurseries, or research labs, testing new plant varieties and farming methods.","Horticulturists help farmers grow better mangoes in Maharashtra, grapes in Nashik, or flowers sold across Indian cities, directly affecting the fruits and vegetables that end up in every Indian kitchen. Better horticulture techniques also help farmers earn more money and reduce crop losses from pests and disease.","ICAR AIEEA (All India Entrance Examination for Admission, run by the Indian Council of Agricultural Research, for agriculture and horticulture degree courses), or state agricultural university entrance tests.","Indian Agricultural Research Institute (Delhi), Punjab Agricultural University, Kerala Agricultural University, Dr. Yashwant Singh Parmar University of Horticulture and Forestry",₹3-5 LPA,₹6-10 LPA,₹12-20 LPA,"National Horticulture Board, state agriculture and horticulture departments, ITC Limited, Godrej Agrovet, nursery and seed companies like Bayer",Medium,Low,Tier-2 and rural areas fine,M. S. Swaminathan: father of India's Green Revolution | Kavita Mishra: known horticulture research scientist,"ICAR reports, AmbitionBox, National Horticulture Board data, agricultural university placement records",
Hotel Management,"A hotel management professional oversees parts of a hotel like guest check-ins, food service, housekeeping, or events, making sure guests have a smooth and pleasant stay. Days involve coordinating staff, solving guest problems on the spot, and managing bookings or budgets.","Hotel managers run the operations behind major Indian hotel chains like Taj and Oberoi that host tourists, business travelers, and big weddings, directly supporting India's tourism industry which employs millions. Good hotel management also shapes how international visitors experience India, affecting tourism revenue for the whole country.","NCHMCT JEE (National Council for Hotel Management and Catering Technology Joint Entrance Exam, the main exam for hotel management degree admission in India).","Institute of Hotel Management (Mumbai/Delhi/various cities), Welcomgroup Graduate School of Hotel Administration (Manipal), Oberoi Centre of Learning and Development, Christ University (Bengaluru)",₹3-5 LPA,₹7-12 LPA,₹15-30 LPA,"Taj Hotels, Oberoi Group, ITC Hotels, Marriott, Radisson, Airlines and cruise companies",Medium,Low,Metro cities and tourist destinations mainly,Rattan Tata: guided Taj Hotels' growth as chairman of Tata Group | P. R. S. Oberoi: built the Oberoi hotel chain,"NCHMCT reports, AmbitionBox, Glassdoor India, hotel chain placement records",
Industrial / Manufacturing / Production Engineering,"A person in this field works on factory floors figuring out the fastest, cheapest, and safest way to make products at large scale — deciding how machines, workers, and materials should be arranged, and fixing bottlenecks that slow production down. They spend time observing assembly lines, analyzing data on defects or delays, and planning improvements.","This work is why a car from Maruti Suzuki or a phone assembled for Samsung in India can be made quickly and consistently in huge numbers without wasting materials or time, directly affecting product prices and availability.","JEE (Joint Entrance Exam, the main exam to get into engineering colleges including IITs) for undergraduate study; GATE (a national exam for master's or government jobs) for higher studies.","IIT Delhi, IIT Bombay, NIT Trichy, PSG College of Technology, VJTI Mumbai, Anna University",₹4-8 LPA,₹10-18 LPA,₹20-35 LPA,"Maruti Suzuki, Tata Motors, Samsung India, Bosch, Mahindra & Mahindra, Bharat Forge",High,Medium,Tier-2 cities fine,"Ratan Tata (industrialist, manufacturing leader), Ravi Kant (former Tata Motors MD, manufacturing expert)","NIRF rankings, AmbitionBox, Glassdoor India, industry placement reports",Production Planning: Deciding how much to manufacture and scheduling factory work to meet demand on time. | Quality Control: Checking products at each stage to catch defects before they reach customers. | Supply Chain and Logistics: Managing how raw materials arrive and finished goods get delivered efficiently.
Industrial Chemistry,"An industrial chemist works in factories or labs figuring out how to make chemical products safely and efficiently, like paints, fertilizers, plastics, or medicines. Days involve testing raw materials, running lab experiments, and checking that finished products meet quality and safety standards.","Industrial chemists help companies like Asian Paints make the paint on Indian walls and Tata Chemicals produce fertilizers that help farmers grow more crops. Their work ensures everyday products like soaps, plastics, and medicines are made safely and consistently at a large scale.","JEE (Joint Entrance Examination, the national exam for engineering admissions, including chemical engineering) or GATE (Graduate Aptitude Test in Engineering, for master's and government job entry) for higher studies.","Indian Institute of Technology (various cities), Institute of Chemical Technology (Mumbai), Birla Institute of Technology and Science (Pilani), Indian Institute of Science (Bengaluru)",₹4-8 LPA,₹10-18 LPA,₹20-35 LPA,"Tata Chemicals, Asian Paints, Reliance Industries, Pidilite Industries, BASF India",Medium,Medium,Works near industrial hubs mainly,"Har Gobind Khorana: Nobel Prize-winning Indian-origin chemist | Yusuf Hamied: chairman of Cipla, chemist by training","GATE exam data, AmbitionBox, Glassdoor India, chemical industry placement reports",
Instrumentation Engineering,"A person in this field designs and maintains the sensors and control systems that measure things like temperature, pressure, or flow in factories and plants, and makes sure machines respond automatically and correctly to those readings. Work often involves calibrating equipment, troubleshooting faulty sensors, and programming control systems in places like oil refineries or power plants.",This work keeps places like Reliance's oil refineries and NTPC's power plants running safely by constantly monitoring conditions and automatically preventing accidents like overheating or pressure buildup.,"JEE (Joint Entrance Exam, the main exam to get into engineering colleges including IITs) for undergraduate study; GATE (a national exam for master's or government jobs) for higher studies or PSU (government-owned company) recruitment.","IIT Kharagpur, IIT Delhi, NIT Trichy, VIT Vellore, Manipal Institute of Technology, ICT Mumbai",₹4-8 LPA,₹10-16 LPA,₹18-30 LPA,"Reliance Industries, NTPC, Honeywell, Siemens, ONGC, L&T",High,Medium,Tier-2 cities fine,"Verghese Kurien (engineering-driven institution builder, though dairy focused), instrumentation leaders at ISRO like former chairman K. Sivan (aerospace instrumentation background)","NIRF rankings, AmbitionBox, Glassdoor India, industry placement reports",Process Control: Designing systems that automatically keep factory processes like temperature and pressure within safe limits. | Sensor Design: Creating the actual devices that detect and measure physical conditions accurately. | Industrial Automation: Programming systems that let machines run and adjust themselves with minimal human involvement.
Japanese (Language & Translation),"A person in this field spends their day reading, writing, and speaking Japanese - translating documents, interpreting conversations between Japanese and Indian colleagues in meetings, or teaching the language to students.","Japanese speakers help Indian employees work smoothly with Japanese companies like Suzuki (which owns Maruti), Honda, Sony, and Toyota, and make it possible for business deals, car manuals, and anime or manga to be understood in India.","No single fixed entrance exam - most people join a language course or a university department (like JNU or Delhi University) based on Class 12 marks, and later prove their skill with the JLPT (Japanese Language Proficiency Test, an international exam that certifies how well you know Japanese, with levels from N5 easiest to N1 hardest).","Jawaharlal Nehru University (JNU), Delhi University, Jamia Millia Islamia, English and Foreign Languages University (EFLU) Hyderabad, Symbiosis Pune, The Japan Foundation New Delhi (for JLPT training)",₹3-6 LPA,₹7-14 LPA,₹15-25 LPA,"Maruti Suzuki, Honda Cars India, Sony India, Panasonic, NTT DATA, Japanese embassy and trade organisations like JETRO",Medium,Medium,Metro cities mainly,"Minoru Sasaki (Japan Foundation India educator), Ian Hideo Levy (Japanese-English literary translator, US-born)","NIRF rankings, AmbitionBox, Glassdoor India, industry placement reports","Translator: Converts written Japanese documents, manuals, or manga into English or Hindi and back. | Interpreter: Listens to spoken Japanese and repeats it live in English for meetings or events. | Language Teacher: Teaches Japanese language and JLPT exam skills to students in schools or institutes."
Journalism,"A journalist spends their day finding stories, calling and meeting people to ask questions, verifying facts, and writing or recording reports for newspapers, TV, or websites before a deadline.","Journalists at organisations like NDTV, The Hindu, and India Today inform millions of citizens about elections, floods, scams, and policy changes, helping people make informed decisions and holding powerful people accountable.","No single fixed entrance exam - many colleges admit students based on Class 12 marks or their own entrance test, though some students also take exams like the IIMC entrance test (Indian Institute of Mass Communication's own exam for its journalism courses).","Indian Institute of Mass Communication (IIMC) Delhi, Xavier Institute of Communications Mumbai, Asian College of Journalism Chennai, Symbiosis Institute of Media and Communication Pune, Delhi University, Jamia Millia Islamia",₹2.5-5 LPA,₹6-12 LPA,₹15-30 LPA,"NDTV, The Times of India, The Hindu, India Today Group, ABP News, Hindustan Times",Medium,Medium,Metro cities mainly,"Barkha Dutt (TV journalist and anchor), Ravish Kumar (Hindi news anchor), Rajdeep Sardesai (senior editor and anchor)","NIRF rankings, AmbitionBox, Glassdoor India, industry placement reports","Print/Digital Reporter: Writes news stories and articles for newspapers or news websites. | TV/Broadcast Journalist: Reports and anchors news stories on television, often live on camera. | Investigative Journalist: Digs deep into one story for weeks or months to expose hidden facts like corruption or fraud."
Law (LLB),"A lawyer spends their day reading case files, researching old judgments, drafting legal documents, and either arguing cases in court or advising clients and companies on what the law allows.","Lawyers at firms handling cases for companies like Reliance or Tata, or working with everyday citizens, help resolve property disputes, business contracts, and criminal cases, and some go on to become judges who decide what is fair and legal in India.","CLAT (Common Law Admission Test, a national exam that decides admission into most top law colleges in India, testing reading comprehension, reasoning, and general knowledge).","National Law School of India University (NLSIU) Bangalore, National Law University (NLU) Delhi, NALSAR University of Law Hyderabad, Government Law College Mumbai, Symbiosis Law School Pune, Faculty of Law Delhi University",₹4-10 LPA,₹12-25 LPA,₹30-80+ LPA,"AZB & Partners, Cyril Amarchand Mangaldas, Khaitan & Co, Trilegal, corporate legal departments, government law departments",High,Medium,Metro cities mainly,"Harish Salve (senior advocate, Supreme Court), Indira Jaising (senior advocate and human rights lawyer), Justice D.Y. Chandrachud (former Chief Justice of India)","NIRF rankings, AmbitionBox, Glassdoor India, industry placement reports","Litigation Lawyer: Represents clients and argues cases in court in front of a judge. | Corporate Lawyer: Advises companies on contracts, mergers, and business deals, usually working in an office rather than a courtroom. | Criminal Lawyer: Defends or prosecutes people accused of crimes like theft or fraud in criminal courts."
Life Science,"A life science graduate spends their day in a lab or field studying living things - running experiments on cells, plants, or animals, recording data, and writing up results that add to scientific knowledge.","Life science researchers at places like the Council of Scientific and Industrial Research (CSIR) and Serum Institute of India contribute to vaccines, better crops, and new medicines that improve health and food supply for millions.","No single fixed entrance exam for the undergraduate degree - admission is usually based on Class 12 Science marks, though some top institutes use CUET (Common University Entrance Test, a national exam for admission to many Indian universities); for research careers, students later take exams like CSIR-NET (a national exam to become a science researcher or lecturer).","Indian Institute of Science (IISc) Bangalore, Jawaharlal Nehru University (JNU), Delhi University, University of Hyderabad, Banaras Hindu University (BHU), Fergusson College Pune",₹3-5 LPA,₹6-11 LPA,₹12-22 LPA,"Serum Institute of India, Biocon, CSIR laboratories, Dr Reddy's Laboratories, ICAR (Indian Council of Agricultural Research), universities and research institutes",Medium,Low,Metro cities mainly,"Dr Gagandeep Kang (vaccine scientist and immunologist), Dr Cyrus Poonawalla (founder, Serum Institute of India)","NIRF rankings, AmbitionBox, Glassdoor India, industry placement reports","Research Scientist: Runs experiments in a lab to discover new facts about living organisms, often at a university or company. | Biotech Industry Roles: Applies life science knowledge to develop products like vaccines, seeds, or diagnostic kits at companies. | Science Educator: Teaches biology and life sciences at schools, colleges, or coaching institutes."
Marine / Ocean Engineering,"A person in this combined field studies a broad mix of ship-related and ocean-related engineering — some ship machinery basics plus some offshore structure and ocean technology basics — before often specializing further later. Depending on the specific job taken after graduation, they might work on ship design, port infrastructure, or offshore platforms, without being locked into only sailing or only onshore work.",Graduates from this broad combined programme support India's shipping and coastal industries in flexible ways — for example contributing to both ship design work at Cochin Shipyard and offshore platform projects for ONGC — because their training spans both sailing-related and non-sailing ocean engineering topics.,"JEE (Joint Entrance Exam, the main exam to get into engineering colleges including IITs) for the combined Ocean/Marine Engineering programs offered at a few institutes like IIT Madras and IIT Kharagpur.","IIT Madras (Ocean Engineering), IIT Kharagpur, Cochin University of Science and Technology, Andhra University College of Engineering",₹5-9 LPA,₹10-18 LPA,₹20-35 LPA,"ONGC, Cochin Shipyard, L&T Shipbuilding, Indian Register of Shipping, offshore engineering consultancies, Indian Navy (design roles)",Medium,Low,Metro cities mainly,"Vice Admiral engineers of Indian Navy's design branch, professors at IIT Madras's Department of Ocean Engineering known for coastal research","NIRF rankings, AmbitionBox, Glassdoor India, industry placement reports",Ship Design Basics: Learning the fundamentals of how ships are structurally designed and built. | Offshore Structures Basics: Learning the fundamentals of platforms and structures built out at sea. | Coastal and Port Studies: Understanding how harbours and coastlines are engineered to handle ships and waves safely.
